grid_cell_id,waste_concrete_network_input_t_per_year
NDGRD_1,0
NDGRD_2,0
NDGRD_3,0
NDGRD_4,0
NDGRD_5,0
NDGRD_6,0
NDGRD_7,0
NDGRD_8,0
NDGRD_9,0
NDGRD_10,0
NDGRD_11,0
NDGRD_12,0
NDGRD_13,0
NDGRD_14,0
NDGRD_15,0
NDGRD_16,0
NDGRD_17,0
NDGRD_18,0
NDGRD_19,0
NDGRD_20,0
NDGRD_21,0
NDGRD_22,0
NDGRD_23,0
NDGRD_24,0
NDGRD_25,0
NDGRD_26,0
NDGRD_27,0
NDGRD_28,0
NDGRD_29,0
NDGRD_30,0
NDGRD_31,0
NDGRD_32,0
NDGRD_33,0
NDGRD_34,0
NDGRD_35,0
NDGRD_36,0
NDGRD_37,0
NDGRD_38,0
NDGRD_39,0
NDGRD_40,0
NDGRD_41,0
NDGRD_42,0
NDGRD_43,0
NDGRD_44,0
NDGRD_45,0
NDGRD_46,0
NDGRD_47,0
NDGRD_48,0
NDGRD_49,0
NDGRD_50,0
NDGRD_51,0
NDGRD_52,0
NDGRD_53,0
NDGRD_54,0
NDGRD_55,0
NDGRD_56,0
NDGRD_57,0
NDGRD_58,0
NDGRD_59,0
NDGRD_60,0
NDGRD_61,0
NDGRD_62,0
NDGRD_63,0
NDGRD_64,0
NDGRD_65,0
NDGRD_66,0
NDGRD_67,0
NDGRD_68,0
NDGRD_69,0
NDGRD_70,0
NDGRD_71,0
NDGRD_72,0
NDGRD_73,0
NDGRD_74,0
NDGRD_75,0
NDGRD_76,0
NDGRD_77,0
NDGRD_78,0
NDGRD_79,0
NDGRD_80,0
NDGRD_81,0
NDGRD_82,0
NDGRD_83,0
NDGRD_84,0
NDGRD_85,0
NDGRD_86,0
NDGRD_87,0
NDGRD_88,0
NDGRD_89,0
NDGRD_90,0
NDGRD_91,0
NDGRD_92,0
NDGRD_93,0
NDGRD_94,0
NDGRD_95,0
NDGRD_96,0
NDGRD_97,0
NDGRD_98,0
NDGRD_99,0
NDGRD_100,0
NDGRD_101,0
NDGRD_102,0
NDGRD_103,0
NDGRD_104,0
NDGRD_105,0
NDGRD_106,0
NDGRD_107,0
NDGRD_108,0
NDGRD_109,0
NDGRD_110,0
NDGRD_111,0
NDGRD_112,0
NDGRD_113,0
NDGRD_114,0
NDGRD_115,0
NDGRD_116,0
NDGRD_117,0
NDGRD_118,0
NDGRD_119,0
NDGRD_120,0
NDGRD_121,0
NDGRD_122,0
NDGRD_123,0
NDGRD_124,0
NDGRD_125,0
NDGRD_126,0
NDGRD_127,0
NDGRD_128,0
NDGRD_129,0
NDGRD_130,0
NDGRD_131,0
NDGRD_132,0
NDGRD_133,0
NDGRD_134,0
NDGRD_135,0
NDGRD_136,0
NDGRD_137,0
NDGRD_138,0
NDGRD_139,0
NDGRD_140,0
NDGRD_141,0
NDGRD_142,0
NDGRD_143,0
NDGRD_144,0
NDGRD_145,0
NDGRD_146,0
NDGRD_147,0
NDGRD_148,0
NDGRD_149,0
NDGRD_150,0
NDGRD_151,0
NDGRD_152,0
NDGRD_153,0
NDGRD_154,0
NDGRD_155,0
NDGRD_156,0
NDGRD_157,0
NDGRD_158,0
NDGRD_159,0
NDGRD_160,0
NDGRD_161,0
NDGRD_162,0
NDGRD_163,0
NDGRD_164,0
NDGRD_165,0
NDGRD_166,0
NDGRD_167,0
NDGRD_168,0
NDGRD_169,0
NDGRD_170,0
NDGRD_171,0
NDGRD_172,0
NDGRD_173,0
NDGRD_174,0
NDGRD_175,0
NDGRD_176,0
NDGRD_177,0
NDGRD_178,0
NDGRD_179,0
NDGRD_180,0
NDGRD_181,0
NDGRD_182,0
NDGRD_183,0
NDGRD_184,0
NDGRD_185,0
NDGRD_186,0
NDGRD_187,0
NDGRD_188,0
NDGRD_189,0
NDGRD_190,0
NDGRD_191,0
NDGRD_192,0
NDGRD_193,0
NDGRD_194,0
NDGRD_195,0
NDGRD_196,0
NDGRD_197,0
NDGRD_198,0
NDGRD_199,0
NDGRD_200,0
NDGRD_201,0
NDGRD_202,0
NDGRD_203,0
NDGRD_204,0
NDGRD_205,0
NDGRD_206,0
NDGRD_207,0
NDGRD_208,0
NDGRD_209,0
NDGRD_210,0
NDGRD_211,0
NDGRD_212,0
NDGRD_213,0
NDGRD_214,0
NDGRD_215,0
NDGRD_216,0
NDGRD_217,0
NDGRD_218,0
NDGRD_219,0
NDGRD_220,0
NDGRD_221,0
