scenario_id,scenario_type,lifespan_scenario,policy_scenario,input_realization,waste_concrete_file,waste_brick_file,waste_brick_absorption_rate_pct
baseline,baseline,,,,baseline/baseline_wc.csv,baseline/baseline_wb.csv,
s_n_p2.5,integrated,short,near,P2.5,scenarios/s_n_wc_p2.5.csv,scenarios/s_n_wb_p2.5_ar99.1.csv,99.1
s_n_p50,integrated,short,near,P50,scenarios/s_n_wc_p50.csv,scenarios/s_n_wb_p50_ar89.5.csv,89.5
s_n_p97.5,integrated,short,near,P97.5,scenarios/s_n_wc_p97.5.csv,scenarios/s_n_wb_p97.5_ar82.6.csv,82.6
s_ml_p2.5,integrated,short,mid-long,P2.5,scenarios/s_ml_wc_p2.5.csv,scenarios/s_ml_wb_p2.5_ar84.8.csv,84.8
s_ml_p50,integrated,short,mid-long,P50,scenarios/s_ml_wc_p50.csv,scenarios/s_ml_wb_p50_ar76.5.csv,76.5
s_ml_p97.5,integrated,short,mid-long,P97.5,scenarios/s_ml_wc_p97.5.csv,scenarios/s_ml_wb_p97.5_ar70.2.csv,70.2
m_n_p2.5,integrated,medium,near,P2.5,scenarios/m_n_wc_p2.5.csv,scenarios/m_n_wb_p2.5.csv,100
m_n_p50,integrated,medium,near,P50,scenarios/m_n_wc_p50.csv,scenarios/m_n_wb_p50.csv,100
m_n_p97.5,integrated,medium,near,P97.5,scenarios/m_n_wc_p97.5.csv,scenarios/m_n_wb_p97.5.csv,100
m_ml_p2.5,integrated,medium,mid-long,P2.5,scenarios/m_ml_wc_p2.5.csv,scenarios/m_ml_wb_p2.5.csv,100
m_ml_p50,integrated,medium,mid-long,P50,scenarios/m_ml_wc_p50.csv,scenarios/m_ml_wb_p50.csv,100
m_ml_p97.5,integrated,medium,mid-long,P97.5,scenarios/m_ml_wc_p97.5.csv,scenarios/m_ml_wb_p97.5.csv,100
l_n_p2.5,integrated,long,near,P2.5,scenarios/l_n_wc_p2.5.csv,scenarios/l_n_wb_p2.5.csv,100
l_n_p50,integrated,long,near,P50,scenarios/l_n_wc_p50.csv,scenarios/l_n_wb_p50.csv,100
l_n_p97.5,integrated,long,near,P97.5,scenarios/l_n_wc_p97.5.csv,scenarios/l_n_wb_p97.5.csv,100
l_ml_p2.5,integrated,long,mid-long,P2.5,scenarios/l_ml_wc_p2.5.csv,scenarios/l_ml_wb_p2.5.csv,100
l_ml_p50,integrated,long,mid-long,P50,scenarios/l_ml_wc_p50.csv,scenarios/l_ml_wb_p50.csv,100
l_ml_p97.5,integrated,long,mid-long,P97.5,scenarios/l_ml_wc_p97.5.csv,scenarios/l_ml_wb_p97.5.csv,100
