grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_1,0
NDGRD_2,1.132795299
NDGRD_3,0
NDGRD_4,0
NDGRD_5,0
NDGRD_6,0
NDGRD_7,0
NDGRD_8,0
NDGRD_9,0
NDGRD_10,0
NDGRD_11,0
NDGRD_12,0
NDGRD_13,0
NDGRD_14,0
NDGRD_15,0
NDGRD_16,0
NDGRD_17,0
NDGRD_18,0
NDGRD_19,0
NDGRD_20,0
NDGRD_21,0
NDGRD_22,0
NDGRD_23,0
NDGRD_24,0
NDGRD_25,0
NDGRD_26,0
NDGRD_27,0
NDGRD_28,0
NDGRD_29,0
NDGRD_30,0
NDGRD_31,0
NDGRD_32,132.5439083
NDGRD_33,0
NDGRD_34,0
NDGRD_35,0
NDGRD_36,0
NDGRD_37,0
NDGRD_38,0
NDGRD_39,0
NDGRD_40,0
NDGRD_41,0
NDGRD_42,0
NDGRD_43,0
NDGRD_44,0
NDGRD_45,0
NDGRD_46,0
NDGRD_47,0
NDGRD_48,0
NDGRD_49,0
NDGRD_50,0
NDGRD_51,877.3892266
NDGRD_52,0
NDGRD_53,0
NDGRD_54,0
NDGRD_55,0
NDGRD_56,0
NDGRD_57,0
NDGRD_58,0
NDGRD_59,0
NDGRD_60,0
NDGRD_61,0
NDGRD_62,92.85874324
NDGRD_63,0
NDGRD_64,0
NDGRD_65,0
NDGRD_66,0
NDGRD_67,0
NDGRD_68,0
NDGRD_69,0
NDGRD_70,0
NDGRD_71,0
NDGRD_72,0
NDGRD_73,0
NDGRD_74,0
NDGRD_75,0
NDGRD_76,0
NDGRD_77,0
NDGRD_78,0
NDGRD_79,0
NDGRD_80,0
NDGRD_81,17.18089829
NDGRD_82,0
NDGRD_83,0
NDGRD_84,0
NDGRD_85,0
NDGRD_86,0
NDGRD_87,0
NDGRD_88,0
NDGRD_89,19.85411513
NDGRD_90,0
NDGRD_91,0
NDGRD_92,0
NDGRD_93,0
NDGRD_94,0
NDGRD_95,0
NDGRD_96,0
NDGRD_97,0
NDGRD_98,0
NDGRD_99,6.014683374
NDGRD_100,0
NDGRD_101,0
NDGRD_102,69.02033368
NDGRD_103,0
NDGRD_104,0
NDGRD_105,0
NDGRD_106,17.99168354
NDGRD_107,0
NDGRD_108,1.402443503
NDGRD_109,0
NDGRD_110,0
NDGRD_111,0.702980747
NDGRD_112,19.80405086
NDGRD_113,0
NDGRD_114,1.915637972
NDGRD_115,0
NDGRD_116,0
NDGRD_117,0
NDGRD_118,53.74920025
NDGRD_119,0
NDGRD_120,2.006468814
NDGRD_121,0
NDGRD_122,0
NDGRD_123,0
NDGRD_124,0
NDGRD_125,0
NDGRD_126,0
NDGRD_127,22.61693769
NDGRD_128,16.01471928
NDGRD_129,0
NDGRD_130,0
NDGRD_131,0
NDGRD_132,0
NDGRD_133,0
NDGRD_134,7.527662205
NDGRD_135,1.37588752
NDGRD_136,0
NDGRD_137,0
NDGRD_138,0
NDGRD_139,0
NDGRD_140,0
NDGRD_141,0
NDGRD_142,0
NDGRD_143,0
NDGRD_144,0
NDGRD_145,0
NDGRD_146,2.005058832
NDGRD_147,0
NDGRD_148,0
NDGRD_149,0
NDGRD_150,0
NDGRD_151,0
NDGRD_152,0
NDGRD_153,0
NDGRD_154,0
NDGRD_155,0
NDGRD_156,0
NDGRD_157,0
NDGRD_158,0
NDGRD_159,0
NDGRD_160,0
NDGRD_161,0
NDGRD_162,6.839899996
NDGRD_163,2.426391586
NDGRD_164,12.24257982
NDGRD_165,339.4986378
NDGRD_166,12.26699604
NDGRD_167,0
NDGRD_168,0
NDGRD_169,0
NDGRD_170,0
NDGRD_171,0
NDGRD_172,0
NDGRD_173,0
NDGRD_174,0
NDGRD_175,3.071039916
NDGRD_176,0
NDGRD_177,0
NDGRD_178,0
NDGRD_179,0
NDGRD_180,0
NDGRD_181,0
NDGRD_182,0
NDGRD_183,0
NDGRD_184,51.84942668
NDGRD_185,278.4310288
NDGRD_186,11.40787617
NDGRD_187,14.93543728
NDGRD_188,42.52001191
NDGRD_189,13.74009865
NDGRD_190,0
NDGRD_191,0
NDGRD_192,0.462022728
NDGRD_193,3.258649048
NDGRD_194,9.706122061
NDGRD_195,141.0049897
NDGRD_196,0
NDGRD_197,0
NDGRD_198,14.47966766
NDGRD_199,0
NDGRD_200,0
NDGRD_201,0
NDGRD_202,0
NDGRD_203,28.06305264
NDGRD_204,15.63564971
NDGRD_205,68.08633583
NDGRD_206,0
NDGRD_207,0
NDGRD_208,0
NDGRD_209,0
NDGRD_210,0
NDGRD_211,1.13456412
NDGRD_212,0
NDGRD_213,23.83470495
NDGRD_214,0
NDGRD_215,1.989648398
NDGRD_216,6.958489146
NDGRD_217,5.429619892
NDGRD_218,3.879346418
NDGRD_219,48.51858581
NDGRD_220,136.2514498
NDGRD_221,0
NDGRD_222,0
NDGRD_223,0
NDGRD_224,0
NDGRD_225,0
NDGRD_226,0
NDGRD_227,0
NDGRD_228,0
NDGRD_229,0
NDGRD_230,1.452576838
NDGRD_231,0
NDGRD_232,0
NDGRD_233,0.318510349
NDGRD_234,4.535592928
NDGRD_235,75.20448004
NDGRD_236,114.1999607
NDGRD_237,0
NDGRD_238,0
NDGRD_239,0
NDGRD_240,0
NDGRD_241,0
NDGRD_242,0
NDGRD_243,0
NDGRD_244,0.869614056
NDGRD_245,0
NDGRD_246,0
NDGRD_247,0
NDGRD_248,0
NDGRD_249,0
NDGRD_250,0
NDGRD_251,0
NDGRD_252,0
NDGRD_253,25.09859894
NDGRD_254,30.63009709
NDGRD_255,1.839811767
NDGRD_256,54.62764381
NDGRD_257,61.46634396
NDGRD_258,38.10913474
NDGRD_259,0
NDGRD_260,0
NDGRD_261,0
NDGRD_262,0
NDGRD_263,0
NDGRD_264,0
NDGRD_265,0
NDGRD_266,0
NDGRD_267,0
NDGRD_268,0
NDGRD_269,0
NDGRD_270,0
NDGRD_271,0
NDGRD_272,1.614167961
NDGRD_273,0.845179266
NDGRD_274,29.11990973
NDGRD_275,0
NDGRD_276,0
NDGRD_277,0
NDGRD_278,0
NDGRD_279,0
NDGRD_280,5.321623944
NDGRD_281,205.6072675
NDGRD_282,0
NDGRD_283,0
NDGRD_284,0
NDGRD_285,0
NDGRD_286,0
NDGRD_287,1.333270554
NDGRD_288,0
NDGRD_289,0
NDGRD_290,0
NDGRD_291,0
NDGRD_292,0
NDGRD_293,0
NDGRD_294,0
NDGRD_295,0
NDGRD_296,0
NDGRD_297,0
NDGRD_298,11.54406185
NDGRD_299,0
NDGRD_300,0
NDGRD_301,0
NDGRD_302,0
NDGRD_303,0
